id;lat;lon;utm_x_m;utm_y_m;depth_m;elev_m;year;month;day;hour;minute;second;rms_error;ml_mag;mw_mag;remarks
2826;-1.634049344;101.1584352;740139.881;9819258.929;1210.795;-1210.795;2023;1;20;20;23;4.642177;0.0166166;-0.315;-0.141;
2827;-1.632457635;101.1373104;737788.69;9819437.5;1693.75;-1693.75;2023;1;21;1;56;37.226721;0.00900896;-0.199;-0.239;
2828;-1.646167704;101.1490898;739098.214;9817919.643;1210.795;-1210.795;2023;1;30;17;30;4.771826;0.0160575;-0.435;-0.325;
2829;-1.647321182;101.1399332;738078.869;9817793.155;1274.716;-1274.716;2023;1;30;17;30;40.732306;0.0194924;-0.045;-0.061;
2830;-1.645864409;101.118407;735683.036;9817956.845;-287.784;287.784;2023;2;18;22;35;10.630795;0.0220145;-0.145;-0.379;
2831;-1.642338844;101.1440723;738540.179;9818343.75;1416.761;-1416.761;2023;2;18;22;38;26.042075;0.0179309;-0.499;-0.39;
2832;-1.65212025;101.1186141;735705.357;9817264.881;-1573.295;1573.295;2023;2;18;22;38;33.249069;0.021212;-0.007;-0.458;
2833;-1.646455271;101.1319775;737193.452;9817889.881;784.659;-784.659;2023;2;18;22;39;5.492288;0.0288556;0.16;-0.01;
2834;-1.643275977;101.1483514;739016.369;9818239.583;1175.284;-1175.284;2023;2;26;15;14;57.713397;0.00236122;-0.666;-0.303;
2835;-1.647330125;101.1316442;737156.25;9817793.155;919.602;-919.602;2023;2;27;22;34;11.894544;0.00780085;-0.271;-0.225;
2836;-1.649954695;101.1306443;737044.643;9817502.976;671.023;-671.023;2023;2;27;22;34;17.92395;0.0113154;-0.386;-0.313;
2837;-1.651440514;101.1251645;736434.524;9817339.286;-167.045;167.045;2023;2;27;22;34;39.32918;0.0262913;-0.501;-0.576;
2838;-1.6499521;101.1330508;737312.5;9817502.976;443.75;-443.75;2023;2;27;22;34;42.210941;0.00812149;0.069;-0.055;
2839;-1.641939126;101.1404622;738138.393;9818388.393;891.193;-891.193;2023;3;8;4;53;44.031025;0.0262179;0.169;-0.009;
2840;-1.643556458;101.1377901;737840.774;9818209.821;1317.33;-1317.33;2023;3;12;23;29;24.111897;0.0117981;-0.098;-0.124;
2841;-1.645038668;101.1356526;737602.679;9818046.131;1217.898;-1217.898;2023;3;19;14;58;26.820171;0.0151712;0.339;-0.098;
2842;-1.647451379;101.1439441;738525.298;9817778.274;692.33;-692.33;2023;3;19;14;58;27.399516;0.0326696;0.359;0.156;
2843;-1.643417162;101.1422018;738331.845;9818224.702;1303.125;-1303.125;2023;3;19;14;58;41.425859;0.019257;-0.112;-0.051;
2844;-1.641943157;101.1367188;737721.726;9818388.393;1402.557;-1402.557;2023;3;19;14;59;5.131008;0.0146462;-0.241;-0.124;
2845;-1.64370421;101.1254905;736471.726;9818194.94;734.943;-734.943;2023;3;19;15;0;56.382687;0.0103956;-0.457;-0.468;
2846;-1.647175781;101.1499599;739194.94;9817808.036;10.511;-10.511;2023;3;19;15;7;48.619145;0.0340757;0.271;0.162;
2847;-1.643282769;101.1420679;738316.964;9818239.583;1161.08;-1161.08;2023;3;19;15;8;6.146461;0.0226911;0.136;0.091;
2848;-1.648652048;101.1533038;739566.964;9817644.345;-301.989;301.989;2023;3;19;15;8;45.610104;0.0313451;0.001;-0.088;
2849;-1.643821631;101.1414001;738242.56;9818180.06;1175.284;-1175.284;2023;3;19;15;10;1.832723;0.0384083;0.217;0.104;
2850;-1.63715738;101.1457379;738726.19;9818916.667;1565.909;-1565.909;2023;3;19;15;10;17.104297;0.01772;-0.51;-0.392;
2851;-1.644295761;101.1383925;737907.738;9818127.976;1551.705;-1551.705;2023;3;19;15;10;42.517819;0.0205769;-0.563;-0.356;
2852;-1.63082108;101.157897;740080.357;9819616.071;1352.841;-1352.841;2023;3;19;15;12;8.0152;0.0059472;-0.463;-0.268;
2853;-1.644272;101.1603179;740348.214;9818127.976;926.705;-926.705;2023;3;19;15;12;41.655368;0.0135419;-0.264;-0.271;
2854;-1.644894605;101.1444761;738584.821;9818061.012;1473.58;-1473.58;2023;3;19;15;13;3.01068;0.0178283;-0.417;-0.196;
2855;-1.645372053;101.1383936;737907.738;9818008.929;1466.477;-1466.477;2023;3;19;15;13;29.292725;0.0118732;-0.476;-0.281;
2856;-1.637301834;101.1365134;737699.405;9818901.786;1580.114;-1580.114;2023;3;19;15;14;14.684165;0.019645;-0.339;-0.531;
2857;-1.63300464;101.1290221;736866.071;9819377.976;1580.114;-1580.114;2023;3;19;15;14;23.737677;0.0186419;-0.493;-0.335;
2858;-1.641062837;101.1421324;738324.405;9818485.119;1494.886;-1494.886;2023;3;19;15;17;0.823282;0.0253018;-0.156;-0.257;
2859;-1.652358408;101.1472248;738889.881;9817235.119;-209.659;209.659;2023;3;19;15;17;15.303697;0.0448142;0.477;0.159;
2860;-1.644295185;101.1389273;737967.262;9818127.976;415.341;-415.341;2023;3;19;15;17;23.265959;0.0480154;-0.054;-0.226;
2861;-1.642822607;101.1321074;737208.333;9818291.667;1480.682;-1480.682;2023;3;19;15;17;27.526577;0.0258222;-0.095;-0.215;
2862;-1.654512153;101.1461576;738770.833;9816997.024;-436.932;436.932;2023;3;19;15;17;36.945018;0.0367577;-0.031;-0.207;
2863;-1.644225387;101.1412668;738227.679;9818135.417;1459.375;-1459.375;2023;3;30;10;37;55.327888;0.0363672;0.26;0.225;
2864;-1.643950533;101.1466142;738822.917;9818165.179;1288.92;-1288.92;2023;3;30;10;38;31.4721;0.00936834;-0.055;-0.044;
2865;-1.642815128;101.1390594;737982.143;9818291.667;1367.045;-1367.045;2023;3;30;10;38;50.937318;0.0208643;-0.167;-0.017;
2866;-1.645977693;101.1381937;737885.417;9817941.964;1274.716;-1274.716;2023;3;30;10;38;55.680351;0.00943566;-0.276;-0.186;
2867;-1.649601352;101.1463528;738793.155;9817540.179;351.42;-351.42;2023;3;30;10;39;41.984185;0.0216219;-0.043;-0.06;
2868;-1.638649793;101.1341083;737431.548;9818752.976;1381.25;-1381.25;2023;3;30;10;39;48.982599;0.0167106;-0.43;-0.296;
2869;-1.646646471;101.1418041;738287.202;9817867.56;777.557;-777.557;2023;3;30;10;40;7.639143;0.0370823;0.735;0.443;
